model_key,condition,train_dataset,seed,rank,target_mean_delta_vs_base,non_target_mean_delta_vs_base,forgetting_score,mean_accuracy,mean_efficiency_ratio,trainable_params,pct_trainable,estimated_cu
qwen3_5_0_8b_base,all_layers,codealpaca,3407,16.0,,-0.051824767454013376,0.051824767454013376,0.4301137254389632,-0.043619268702165884,10822656.0,1.418033759474124,1.1881163759960067
qwen3_5_0_8b_base,all_layers,gsm8k_train,3407,16.0,0.078125,0.0070634754738015575,-0.0070634754738015575,0.5067673494983278,0.018186465348012423,10822656.0,1.418033759474124,1.3652381664183404
qwen3_5_0_8b_base,all_layers,ultrachat,3407,16.0,-0.013020833333333334,-0.15625,0.15625,0.4331103678929766,-0.018768266248537505,10822656.0,1.418033759474124,2.6016321568224168
qwen3_5_0_8b_base,gdn_only,codealpaca,3407,16.0,,-0.05385137959866221,0.05385137959866221,0.34368920283057347,-0.04601431120569747,4432896.0,0.5857220112123009,1.1703180638286803
qwen3_5_0_8b_base,gdn_only,gsm8k_train,3407,16.0,-0.1484375,0.013671875,-0.013671875,0.4550830241429766,-0.020482638838050814,4432896.0,0.5857220112123009,1.3111332461767726
qwen3_5_0_8b_base,gdn_only,ultrachat,3407,16.0,-0.009114583333333334,-0.0546875,0.0546875,0.4614306803929766,-0.008469007883529351,4432896.0,0.5857220112123009,2.4215129779113664
qwen3_5_0_8b_base,gdn_plus_mlp,codealpaca,3407,16.0,,-0.018621642454013376,0.018621642454013376,0.37065348035117057,-0.014866165397612874,9741312.0,1.2781620693179214,1.2526190820535024
qwen3_5_0_8b_base,gdn_plus_mlp,gsm8k_train,3407,16.0,-0.09375,0.00568082845596433,-0.00568082845596433,0.4627616142349498,-0.013819716050081107,9741312.0,1.2781620693179214,1.3876463589072228
qwen3_5_0_8b_base,gdn_plus_mlp,ultrachat,3407,16.0,0.005297606605351168,-0.1328125,0.1328125,0.45270857284698995,-0.011472664298695022,9741312.0,1.2781620693179214,2.5477883153359095
qwen3_5_0_8b_base,mlp_only,codealpaca,3407,16.0,,-0.014233643394648832,0.014233643394648832,0.3741638795986622,-0.012400592973688911,5308416.0,0.7005946827816508,1.147819578051567
qwen3_5_0_8b_base,mlp_only,gsm8k_train,3407,16.0,0.0859375,0.004566001254180607,-0.004566001254180607,0.506847368833612,0.019216066419622167,5308416.0,0.7005946827816508,1.296252593881554
qwen3_5_0_8b_base,mlp_only,ultrachat,3407,16.0,0.0077145171404682245,-0.15234375,0.15234375,0.44963844324832775,-0.0133338325870543,5308416.0,0.7005946827816508,2.422413018445174
qwen3_5_0_8b_base,softmax_only,codealpaca,3407,16.0,,-0.02287573160535117,0.02287573160535117,0.36846972122522226,-1.6303074474445083,1081344.0,0.14351437101573705,0.01403154456615448
qwen3_5_0_8b_base,softmax_only,gsm8k_train,3407,16.0,0.1015625,-0.005484862736900779,0.005484862736900779,0.5032154708403009,0.01767735004744508,1081344.0,0.14351437101573705,1.2036293839414913
qwen3_5_0_8b_base,softmax_only,ultrachat,3407,16.0,0.00836555880713489,-0.0390625,0.0390625,0.47844703699832775,-0.0015096915435313515,1081344.0,0.14351437101573705,2.312694874399238
qwen3_5_0_8b_base,softmax_plus_mlp,codealpaca,3407,16.0,,-0.04868768290133779,0.04868768290133779,0.347820160188433,-0.04143372031410261,6389760.0,0.8421066126877228,1.1750738898714383
qwen3_5_0_8b_base,softmax_plus_mlp,gsm8k_train,3407,16.0,-0.1484375,-0.009569659280936449,0.009569659280936449,0.43765187343227424,-0.033575260942884017,6389760.0,0.8421066126877228,1.3190253245102033
qwen3_5_0_8b_base,softmax_plus_mlp,ultrachat,3407,16.0,-0.002693439938684502,-0.16015625,0.16015625,0.4398793504389632,-0.017179804576964487,6389760.0,0.8421066126877228,2.448173508935504
