n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
256,-3.125,-8.59375,2.34375,0.3008,qwen3,codealpaca,gsm8k,softmax_only,gdn_plus_mlp,1.0,False,False
299,-1.3377926421404682,-3.678929765886288,1.0033444816053512,0.3052,falcon,codealpaca,arc_challenge,all_eligible,attention_only,1.0,False,False
512,-1.7578125,-5.078125,1.3671875,0.3084,qwen3,ultrachat,hellaswag,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,-1.171875,-3.3203125,0.9765625,0.312,qwen3,ultrachat,mmlu,softmax_only,softmax_plus_mlp,1.0,False,False
512,1.5625,-1.171875,4.4921875,0.3136,qwen3,codealpaca,mmlu,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
256,-2.34375,-6.640625,1.953125,0.3212,falcon,codealpaca,gsm8k,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
256,-2.734375,-7.8125,2.34375,0.322,qwen3,ultrachat,gsm8k,all_layers,softmax_plus_mlp,1.0,False,False
512,1.7578125,-1.5625,5.078125,0.3264,qwen3,codealpaca,hellaswag,all_layers,__base__,1.0,False,False
128,-6.25,-17.96875,6.25,0.3298,qwen3,codealpaca,gsm8k,softmax_only,__base__,1.0,False,False
512,-1.171875,-3.3203125,0.9765625,0.3316,qwen3,gsm8k_train,mmlu,softmax_only,gdn_plus_mlp,1.0,False,False
256,-2.734375,-8.203125,2.34375,0.332,qwen3,ultrachat,gsm8k,softmax_only,mlp_only,1.0,False,False
512,0.9765625,-0.78125,2.9296875,0.333,falcon,ultrachat,mmlu,all_eligible,attention_plus_mlp,1.0,False,False
157,-2.547770700636943,-7.643312101910828,1.910828025477707,0.3338,falcon,codealpaca,humaneval,all_eligible,attention_only,1.0,False,False
128,-4.6875,-13.28125,3.90625,0.3338,qwen3,gsm8k_train,gsm8k,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,0.9765625,-0.78125,2.734375,0.3364,falcon,codealpaca,mmlu,all_eligible,attention_plus_mlp,1.0,False,False
299,1.3377926421404682,-1.0033444816053512,3.678929765886288,0.3396,falcon,codealpaca,arc_challenge,attention_only,ssm_plus_mlp,1.0,False,False
512,1.3671875,-1.171875,3.90625,0.3402,qwen3,gsm8k_train,mmlu,softmax_only,mlp_only,1.0,False,False
256,2.734375,-2.34375,7.8125,0.3404,falcon,ultrachat,gsm8k,all_eligible,mlp_only,1.0,False,False
512,1.171875,-0.9765625,3.515625,0.3412,qwen3,gsm8k_train,mmlu,gdn_only,mlp_only,1.0,False,False
299,-1.3377926421404682,-3.678929765886288,1.0033444816053512,0.3416,qwen3,codealpaca,arc_challenge,softmax_only,__base__,1.0,False,False
512,-1.7578125,-5.2734375,1.7578125,0.3434,qwen3,codealpaca,mmlu,gdn_only,mlp_only,1.0,False,False
256,-1.953125,-5.46875,1.5625,0.344,falcon,codealpaca,gsm8k,ssm_only,ssm_plus_mlp,1.0,False,False
512,0.78125,-0.5859375,2.1484375,0.3446,falcon,ultrachat,mmlu,mlp_only,attention_plus_mlp,1.0,False,False
512,-0.9765625,-2.7392578124999956,0.78125,0.3448,falcon,gsm8k_train,mmlu,mlp_only,ssm_plus_mlp,1.0,False,False
512,0.9765625,-0.78125,2.9296875,0.3484,falcon,ultrachat,mmlu,ssm_only,mlp_only,1.0,False,False
256,-2.734375,-8.203125,2.734375,0.3492,qwen3,ultrachat,gsm8k,gdn_only,softmax_plus_mlp,1.0,False,False
512,-0.78125,-2.1484375,0.5859375,0.3516,falcon,codealpaca,mmlu,mlp_only,ssm_plus_mlp,1.0,False,False
299,1.3377926421404682,-1.0033444816053512,3.678929765886288,0.3518,qwen3,ultrachat,arc_challenge,mlp_only,__base__,1.0,False,False
128,4.6875,-4.6875,14.0625,0.352,qwen3,gsm8k_train,gsm8k,mlp_only,__base__,1.0,False,False
512,-1.171875,-3.3203125,0.9765625,0.3562,falcon,gsm8k_train,mmlu,mlp_only,__base__,1.0,False,False
299,1.3377926421404682,-1.3377926421404682,4.013377926421405,0.3686,qwen3,codealpaca,arc_challenge,gdn_only,gdn_plus_mlp,1.0,False,False
512,-0.78125,-2.34375,0.78125,0.3714,falcon,ultrachat,hellaswag,mlp_only,ssm_plus_mlp,1.0,False,False
512,-1.7578125,-5.46875,1.953125,0.372,qwen3,ultrachat,hellaswag,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.9765625,-0.9765625,2.9296875,0.373,falcon,codealpaca,hellaswag,ssm_only,ssm_plus_mlp,1.0,False,False
164,2.4390243902439024,-2.4390243902439024,7.317073170731707,0.3772,qwen3,codealpaca,humaneval,all_layers,softmax_only,1.0,False,False
128,3.90625,-3.90625,11.71875,0.3776,qwen3,gsm8k_train,gsm8k,all_layers,softmax_plus_mlp,1.0,False,False
299,1.3377926421404682,-1.3377926421404682,4.013377926421405,0.3786,qwen3,gsm8k_train,arc_challenge,all_layers,__base__,1.0,False,False
512,-0.9765625,-2.9296875,0.9765625,0.3788,falcon,gsm8k_train,hellaswag,attention_only,__base__,1.0,False,False
299,1.3377926421404682,-1.3377926421404682,4.013377926421405,0.3816,qwen3,codealpaca,arc_challenge,mlp_only,__base__,1.0,False,False
256,2.734375,-2.734375,8.59375,0.3818,falcon,ultrachat,gsm8k,all_eligible,attention_only,1.0,False,False
256,-2.734375,-8.59375,2.734375,0.3832,qwen3,codealpaca,gsm8k,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
164,1.8292682926829267,-1.8292682926829267,5.487804878048781,0.385,falcon,codealpaca,humaneval,ssm_only,mlp_only,1.0,False,False
512,-1.5625,-4.8828125,1.5625,0.3884,qwen3,ultrachat,hellaswag,softmax_plus_mlp,__base__,1.0,False,False
512,-1.5625,-4.8828125,1.7578125,0.3896,qwen3,codealpaca,hellaswag,gdn_only,softmax_plus_mlp,1.0,False,False
512,-0.9765625,-3.125,0.9765625,0.3966,falcon,ultrachat,mmlu,mlp_only,__base__,1.0,False,False
512,-0.9765625,-3.125,0.9765625,0.3972,falcon,ultrachat,mmlu,attention_only,ssm_only,1.0,False,False
299,-1.3377926421404682,-4.013377926421405,1.3377926421404682,0.3986,falcon,ultrachat,arc_challenge,attention_plus_mlp,__base__,1.0,False,False
299,-1.0033444816053512,-3.0100334448160537,1.0033444816053512,0.3992,falcon,gsm8k_train,arc_challenge,attention_only,__base__,1.0,False,False
299,1.0033444816053512,-1.0033444816053512,3.0100334448160537,0.4008,falcon,codealpaca,arc_challenge,attention_only,attention_plus_mlp,1.0,False,False
512,1.171875,-1.3671875,3.7109375,0.4022,qwen3,codealpaca,hellaswag,softmax_only,__base__,1.0,False,False
299,1.3377926421404682,-1.3377926421404682,4.013377926421405,0.4024,qwen3,gsm8k_train,arc_challenge,all_layers,gdn_only,1.0,False,False
512,-1.3671875,-4.4921875,1.5625,0.4092,qwen3,ultrachat,mmlu,all_layers,softmax_plus_mlp,1.0,False,False
128,-5.46875,-17.96875,6.25,0.4098,qwen3,ultrachat,gsm8k,gdn_only,__base__,1.0,False,False
512,1.3671875,-1.5673828124999956,4.296875,0.4106,qwen3,ultrachat,mmlu,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,-1.3671875,-4.4921875,1.5625,0.4136,qwen3,codealpaca,hellaswag,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,0.9765625,-0.9765625,3.125,0.4178,falcon,gsm8k_train,mmlu,all_eligible,mlp_only,1.0,False,False
128,-3.90625,-12.5,4.6875,0.4194,qwen3,gsm8k_train,gsm8k,softmax_only,gdn_only,1.0,False,False
512,-0.78125,-2.5390625,0.9765625,0.4266,falcon,ultrachat,mmlu,all_eligible,ssm_only,1.0,False,False
512,1.171875,-1.3671875,3.7109375,0.4274,qwen3,codealpaca,mmlu,softmax_plus_mlp,__base__,1.0,False,False
512,-0.78125,-2.5390625,0.9765625,0.4274,falcon,ultrachat,mmlu,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
256,-1.953125,-6.25,2.34375,0.4366,falcon,gsm8k_train,gsm8k,ssm_only,ssm_plus_mlp,1.0,False,False
512,0.9765625,-1.171875,3.125,0.4376,qwen3,ultrachat,mmlu,mlp_only,__base__,1.0,False,False
299,1.0033444816053512,-1.0033444816053512,3.3444816053511706,0.4392,falcon,ultrachat,arc_challenge,ssm_only,attention_plus_mlp,1.0,False,False
299,-1.0033444816053512,-3.3444816053511706,1.0033444816053512,0.4412,falcon,codealpaca,arc_challenge,mlp_only,__base__,1.0,False,False
512,-1.5625,-5.46875,2.1484375,0.4426,qwen3,codealpaca,mmlu,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.9765625,-1.171875,3.125,0.4426,qwen3,gsm8k_train,mmlu,softmax_only,softmax_plus_mlp,1.0,False,False
299,-1.0033444816053512,-3.3444816053511706,1.0033444816053512,0.4448,falcon,ultrachat,arc_challenge,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
164,-1.8292682926829267,-6.097560975609756,1.8292682926829267,0.446,qwen3,codealpaca,humaneval,mlp_only,softmax_plus_mlp,1.0,False,False
299,-1.3377926421404682,-4.3478260869565215,1.6722408026755853,0.4482,falcon,ultrachat,arc_challenge,all_eligible,__base__,1.0,False,False
512,0.78125,-0.9765625,2.5390625,0.4484,falcon,codealpaca,mmlu,attention_only,attention_plus_mlp,1.0,False,False
512,0.5859375,-0.5859375,1.953125,0.4496,falcon,codealpaca,mmlu,mlp_only,attention_plus_mlp,1.0,False,False
512,1.171875,-1.5625,3.90625,0.4496,qwen3,codealpaca,mmlu,softmax_only,softmax_plus_mlp,1.0,False,False
512,-0.9765625,-3.125,1.3671875,0.452,qwen3,gsm8k_train,mmlu,all_layers,__base__,1.0,False,False
512,-0.9765625,-3.3203125,1.3671875,0.453,falcon,ultrachat,mmlu,ssm_plus_mlp,__base__,1.0,False,False
256,-2.34375,-7.8125,3.125,0.4542,qwen3,ultrachat,gsm8k,mlp_only,gdn_plus_mlp,1.0,False,False
512,0.9765625,-1.1767578124999956,3.125,0.4544,falcon,codealpaca,hellaswag,attention_only,ssm_only,1.0,False,False
164,1.2195121951219512,-1.2195121951219512,3.6585365853658534,0.455,falcon,codealpaca,humaneval,mlp_only,ssm_plus_mlp,1.0,False,False
299,-1.6722408026755853,-5.351170568561873,2.341137123745819,0.4616,qwen3,codealpaca,arc_challenge,softmax_only,gdn_only,1.0,False,False
299,-1.3377926421404682,-4.682274247491638,1.6722408026755853,0.4654,qwen3,ultrachat,arc_challenge,gdn_only,mlp_only,1.0,False,False
299,1.3377926421404682,-2.0066889632107023,4.682274247491638,0.4672,qwen3,gsm8k_train,arc_challenge,softmax_only,gdn_plus_mlp,1.0,False,False
299,1.3377926421404682,-2.0066889632107023,4.682274247491638,0.4716,qwen3,ultrachat,arc_challenge,softmax_only,gdn_only,1.0,False,False
299,-1.3377926421404682,-4.682274247491638,1.6722408026755853,0.4736,qwen3,ultrachat,arc_challenge,all_layers,mlp_only,1.0,False,False
512,0.9765625,-1.3671875,3.3203125,0.476,qwen3,codealpaca,hellaswag,mlp_only,__base__,1.0,False,False
164,1.8292682926829267,-2.4390243902439024,6.097560975609756,0.4766,falcon,codealpaca,humaneval,attention_only,mlp_only,1.0,False,False
299,-1.3377926421404682,-4.682274247491638,1.6806020066888416,0.4772,qwen3,codealpaca,arc_challenge,all_layers,gdn_only,1.0,False,False
512,-0.5859375,-1.953125,0.5859375,0.4784,falcon,codealpaca,hellaswag,mlp_only,attention_plus_mlp,1.0,False,False
512,0.78125,-1.171875,2.734375,0.4784,falcon,ultrachat,mmlu,attention_only,attention_plus_mlp,1.0,False,False
299,1.0033444816053512,-1.3377926421404682,3.3444816053511706,0.4818,falcon,codealpaca,arc_challenge,attention_only,ssm_only,1.0,False,False
128,-3.125,-10.9375,4.6875,0.4844,qwen3,gsm8k_train,gsm8k,gdn_only,mlp_only,1.0,False,False
128,-3.125,-10.9375,4.6875,0.4882,qwen3,gsm8k_train,gsm8k,mlp_only,gdn_plus_mlp,1.0,False,False
512,0.78125,-1.171875,2.734375,0.4908,falcon,gsm8k_train,mmlu,ssm_only,ssm_plus_mlp,1.0,False,False
256,2.34375,-3.90625,8.203125,0.4926,falcon,gsm8k_train,gsm8k,all_eligible,__base__,1.0,False,False
512,0.78125,-1.171875,2.734375,0.4932,falcon,codealpaca,hellaswag,ssm_only,attention_plus_mlp,1.0,False,False
299,1.0033444816053512,-1.3377926421404682,3.3444816053511706,0.4952,falcon,ultrachat,arc_challenge,attention_only,mlp_only,1.0,False,False
512,-0.5859375,-1.953125,0.78125,0.4966,falcon,ultrachat,hellaswag,all_eligible,mlp_only,1.0,False,False
512,0.9765625,-1.5625,3.7109375,0.5026,qwen3,codealpaca,mmlu,softmax_only,mlp_only,1.0,False,False
256,-1.953125,-7.421875,3.125,0.511,qwen3,ultrachat,gsm8k,softmax_only,softmax_plus_mlp,1.0,False,False
256,-1.5625,-5.859375,2.34375,0.5136,falcon,gsm8k_train,gsm8k,all_eligible,ssm_plus_mlp,1.0,False,False
164,1.8292682926829267,-2.4390243902439024,6.112804878048558,0.5148,qwen3,codealpaca,humaneval,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,-0.78125,-2.734375,1.171875,0.5178,falcon,gsm8k_train,mmlu,attention_plus_mlp,__base__,1.0,False,False
512,-0.78125,-2.9296875,1.3671875,0.5198,qwen3,ultrachat,mmlu,mlp_only,softmax_plus_mlp,1.0,False,False
299,-1.3377926421404682,-5.016722408026756,2.341137123745819,0.5208,qwen3,ultrachat,arc_challenge,all_layers,softmax_only,1.0,False,False
299,-1.0033444816053512,-3.678929765886288,1.6722408026755853,0.5268,qwen3,ultrachat,arc_challenge,softmax_plus_mlp,__base__,1.0,False,False
512,-0.78125,-2.9296875,1.3671875,0.5278,falcon,ultrachat,mmlu,all_eligible,__base__,1.0,False,False
512,0.78125,-1.3671875,2.9296875,0.5282,qwen3,gsm8k_train,mmlu,softmax_only,__base__,1.0,False,False
512,-0.78125,-2.9296875,1.3671875,0.5326,qwen3,gsm8k_train,mmlu,all_layers,softmax_plus_mlp,1.0,False,False
512,-0.5859375,-2.1484375,0.9765625,0.5344,falcon,gsm8k_train,mmlu,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
256,-1.171875,-3.90625,1.953125,0.539,falcon,codealpaca,gsm8k,mlp_only,attention_plus_mlp,1.0,False,False
299,1.0033444816053512,-1.6722408026755853,3.678929765886288,0.5408,qwen3,ultrachat,arc_challenge,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.78125,-1.5625,3.125,0.5522,qwen3,codealpaca,mmlu,all_layers,gdn_plus_mlp,1.0,False,False
128,-3.90625,-16.40625,7.8125,0.5528,qwen3,codealpaca,gsm8k,gdn_only,__base__,1.0,False,False
512,-0.78125,-3.125,1.5625,0.5544,falcon,gsm8k_train,mmlu,attention_only,attention_plus_mlp,1.0,False,False
128,3.125,-5.46875,12.5,0.5564,qwen3,gsm8k_train,gsm8k,softmax_plus_mlp,__base__,1.0,False,False
164,-1.8292682926829267,-7.317073170731707,3.6585365853658534,0.5616,qwen3,codealpaca,humaneval,all_layers,gdn_only,1.0,False,False
512,0.5859375,-0.9765625,2.34375,0.562,falcon,codealpaca,mmlu,ssm_only,mlp_only,1.0,False,False
512,-1.171875,-4.6875,2.34375,0.564,qwen3,ultrachat,mmlu,gdn_only,softmax_plus_mlp,1.0,False,False
299,-1.0033444816053512,-4.013377926421405,1.6722408026755853,0.568,qwen3,ultrachat,arc_challenge,gdn_only,gdn_plus_mlp,1.0,False,False
512,-0.78125,-3.125,1.5625,0.5706,falcon,gsm8k_train,mmlu,all_eligible,ssm_only,1.0,False,False
512,-0.9765625,-3.90625,1.953125,0.5746,qwen3,codealpaca,mmlu,all_layers,mlp_only,1.0,False,False
299,1.0033444816053512,-2.0066889632107023,4.013377926421405,0.5748,qwen3,ultrachat,arc_challenge,all_layers,softmax_plus_mlp,1.0,False,False
256,1.953125,-4.296875,8.203125,0.5774,falcon,gsm8k_train,gsm8k,attention_only,ssm_plus_mlp,1.0,False,False
256,1.953125,-4.296875,8.203125,0.5804,falcon,gsm8k_train,gsm8k,ssm_only,__base__,1.0,False,False
299,-1.0033444816053512,-4.013377926421405,2.0066889632107023,0.592,qwen3,ultrachat,arc_challenge,all_layers,gdn_plus_mlp,1.0,False,False
512,-0.390625,-1.5625,0.5859375,0.5972,falcon,gsm8k_train,hellaswag,all_eligible,ssm_plus_mlp,1.0,False,False
128,2.34375,-4.6875,9.375,0.598,qwen3,gsm8k_train,gsm8k,all_layers,mlp_only,1.0,False,False
256,1.5625,-3.515625,6.640625,0.5994,falcon,codealpaca,gsm8k,ssm_only,mlp_only,1.0,False,False
512,-0.5859375,-2.34375,1.171875,0.6018,falcon,codealpaca,mmlu,mlp_only,__base__,1.0,False,False
512,0.78125,-1.7578125,3.3203125,0.6024,falcon,ultrachat,hellaswag,attention_only,ssm_only,1.0,False,False
512,0.5859375,-1.171875,2.34375,0.6086,falcon,gsm8k_train,mmlu,all_eligible,attention_plus_mlp,1.0,False,False
512,0.9765625,-2.34375,4.296875,0.611,qwen3,codealpaca,hellaswag,gdn_plus_mlp,__base__,1.0,False,False
512,0.78125,-1.7578125,3.3203125,0.611,qwen3,gsm8k_train,mmlu,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.78125,-1.953125,3.7109375,0.6132,qwen3,codealpaca,mmlu,all_layers,gdn_only,1.0,False,False
512,-0.78125,-3.3203125,1.7578125,0.6166,qwen3,gsm8k_train,hellaswag,gdn_only,mlp_only,1.0,False,False
512,-0.5859375,-2.5390625,1.3671875,0.6188,falcon,gsm8k_train,hellaswag,attention_only,attention_plus_mlp,1.0,False,False
128,-2.34375,-10.15625,5.46875,0.6208,qwen3,gsm8k_train,gsm8k,softmax_only,__base__,1.0,False,False
299,-0.6688963210702341,-2.6755852842809364,1.3377926421404682,0.6228,falcon,ultrachat,arc_challenge,attention_only,__base__,1.0,False,False
299,0.6688963210702341,-1.3377926421404682,2.6755852842809364,0.623,falcon,codealpaca,arc_challenge,mlp_only,ssm_plus_mlp,1.0,False,False
299,-1.0033444816053512,-4.013377926421405,2.341137123745819,0.6242,qwen3,codealpaca,arc_challenge,softmax_only,softmax_plus_mlp,1.0,False,False
512,-0.5859375,-2.5390625,1.3671875,0.6248,falcon,codealpaca,mmlu,attention_only,ssm_plus_mlp,1.0,False,False
512,-0.5859375,-2.5390625,1.3671875,0.625,falcon,gsm8k_train,hellaswag,attention_only,mlp_only,1.0,False,False
512,0.78125,-1.953125,3.515625,0.6262,qwen3,codealpaca,hellaswag,all_layers,gdn_plus_mlp,1.0,False,False
164,-1.2195121951219512,-4.878048780487805,2.4390243902439024,0.6282,qwen3,codealpaca,humaneval,softmax_only,mlp_only,1.0,False,False
299,1.0033444816053512,-2.341137123745819,4.3478260869565215,0.6292,qwen3,ultrachat,arc_challenge,gdn_plus_mlp,__base__,1.0,False,False
512,-0.390625,-1.5625,0.78125,0.6334,falcon,ultrachat,hellaswag,all_eligible,attention_plus_mlp,1.0,False,False
299,0.6688963210702341,-1.3377926421404682,2.6755852842809364,0.635,falcon,codealpaca,arc_challenge,attention_only,mlp_only,1.0,False,False
512,0.5859375,-1.3671875,2.734375,0.6388,falcon,gsm8k_train,mmlu,ssm_only,__base__,1.0,False,False
299,-1.0033444816053512,-4.682274247491638,2.6755852842809364,0.6396,qwen3,codealpaca,arc_challenge,all_layers,__base__,1.0,False,False
512,-0.9765625,-4.8828125,2.734375,0.644,qwen3,ultrachat,hellaswag,all_layers,gdn_only,1.0,False,False
512,0.78125,-2.1484375,3.7109375,0.646,qwen3,codealpaca,hellaswag,all_layers,mlp_only,1.0,False,False
299,-1.0033444816053512,-4.682274247491638,2.6755852842809364,0.6498,qwen3,codealpaca,arc_challenge,gdn_plus_mlp,__base__,1.0,False,False
128,-3.125,-15.625,10.15625,0.6544,qwen3,ultrachat,gsm8k,softmax_only,__base__,1.0,False,False
512,-0.78125,-3.7109375,2.34375,0.6592,qwen3,codealpaca,mmlu,all_layers,softmax_plus_mlp,1.0,False,False
299,-1.0033444816053512,-5.016722408026756,3.0100334448160537,0.6606,qwen3,codealpaca,arc_challenge,gdn_only,mlp_only,1.0,False,False
512,0.5859375,-1.5625,2.734375,0.6614,falcon,ultrachat,hellaswag,ssm_only,ssm_plus_mlp,1.0,False,False
256,1.171875,-3.125,5.46875,0.6626,falcon,gsm8k_train,gsm8k,all_eligible,mlp_only,1.0,False,False
512,0.5859375,-1.5625,2.734375,0.6638,falcon,codealpaca,hellaswag,attention_only,__base__,1.0,False,False
512,-0.5859375,-2.7392578124999956,1.7578125,0.665,qwen3,gsm8k_train,mmlu,mlp_only,__base__,1.0,False,False
256,-1.171875,-5.859375,3.515625,0.6688,falcon,codealpaca,gsm8k,attention_only,ssm_only,1.0,False,False
512,-0.390625,-1.7578125,0.9765625,0.6716,falcon,gsm8k_train,mmlu,mlp_only,attention_plus_mlp,1.0,False,False
512,0.5859375,-1.7578125,2.9296875,0.676,qwen3,ultrachat,mmlu,softmax_only,__base__,1.0,False,False
299,0.6688963210702341,-1.3377926421404682,3.0100334448160537,0.6774,falcon,ultrachat,arc_challenge,attention_only,attention_plus_mlp,1.0,False,False
512,-0.390625,-1.7578125,0.9765625,0.6786,falcon,codealpaca,hellaswag,mlp_only,ssm_plus_mlp,1.0,False,False
299,-0.6688963210702341,-3.0100334448160537,1.6722408026755853,0.688,falcon,codealpaca,arc_challenge,all_eligible,mlp_only,1.0,False,False
299,-0.6688963210702341,-3.3444816053511706,1.6722408026755853,0.6884,qwen3,gsm8k_train,arc_challenge,softmax_only,__base__,1.0,False,False
512,-0.390625,-1.7578125,0.9765625,0.6894,falcon,codealpaca,hellaswag,all_eligible,attention_plus_mlp,1.0,False,False
512,-0.390625,-1.953125,0.9765625,0.6894,falcon,codealpaca,mmlu,all_eligible,ssm_plus_mlp,1.0,False,False
164,1.2195121951219512,-3.048780487804878,5.487804878048781,0.6946,qwen3,codealpaca,humaneval,gdn_only,softmax_plus_mlp,1.0,False,False
164,1.2195121951219512,-3.048780487804878,5.487804878048781,0.6954,qwen3,codealpaca,humaneval,all_layers,gdn_plus_mlp,1.0,False,False
164,-1.2195121951219512,-6.097560975609756,3.6585365853658534,0.6972,qwen3,codealpaca,humaneval,softmax_only,gdn_plus_mlp,1.0,False,False
512,0.5859375,-1.7578125,3.125,0.7066,qwen3,gsm8k_train,mmlu,gdn_only,__base__,1.0,False,False
164,1.2195121951219512,-3.6585365853658534,6.097560975609756,0.714,qwen3,codealpaca,humaneval,all_layers,mlp_only,1.0,False,False
299,-0.6688963210702341,-3.3444816053511706,2.0066889632107023,0.7144,falcon,ultrachat,arc_challenge,all_eligible,attention_only,1.0,False,False
256,-1.171875,-6.640625,4.296875,0.7148,qwen3,codealpaca,gsm8k,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.390625,-1.171875,1.953125,0.7182,falcon,codealpaca,mmlu,all_eligible,mlp_only,1.0,False,False
299,-0.6688963210702341,-3.678929765886288,2.0066889632107023,0.7186,qwen3,gsm8k_train,arc_challenge,softmax_only,gdn_only,1.0,False,False
512,-0.390625,-1.953125,1.171875,0.7272,falcon,codealpaca,mmlu,attention_only,__base__,1.0,False,False
256,-1.171875,-7.03125,4.296875,0.7408,qwen3,codealpaca,gsm8k,all_layers,softmax_plus_mlp,1.0,False,False
512,0.5859375,-2.34375,3.515625,0.7444,qwen3,ultrachat,hellaswag,softmax_only,__base__,1.0,False,False
128,1.5625,-6.25,9.375,0.7454,qwen3,gsm8k_train,gsm8k,mlp_only,softmax_plus_mlp,1.0,False,False
512,-0.390625,-2.34375,1.3671875,0.7514,falcon,codealpaca,mmlu,attention_only,ssm_only,1.0,False,False
512,-0.390625,-2.1484375,1.3671875,0.7532,falcon,gsm8k_train,hellaswag,mlp_only,__base__,1.0,False,False
512,-0.390625,-2.1484375,1.3671875,0.7536,falcon,gsm8k_train,hellaswag,attention_plus_mlp,__base__,1.0,False,False
128,-2.34375,-14.84375,10.15625,0.757,qwen3,codealpaca,gsm8k,softmax_plus_mlp,__base__,1.0,False,False
256,1.171875,-5.078125,7.03125,0.7618,falcon,gsm8k_train,gsm8k,mlp_only,__base__,1.0,False,False
512,-0.5859375,-3.7109375,2.5390625,0.762,qwen3,ultrachat,mmlu,all_layers,mlp_only,1.0,False,False
299,-0.6688963210702341,-3.678929765886288,2.341137123745819,0.7632,qwen3,gsm8k_train,arc_challenge,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
512,0.5859375,-2.5390625,3.7109375,0.7648,qwen3,ultrachat,mmlu,mlp_only,gdn_plus_mlp,1.0,False,False
512,0.5859375,-2.5390625,3.7109375,0.766,qwen3,ultrachat,hellaswag,softmax_only,mlp_only,1.0,False,False
256,-1.171875,-7.421875,5.078125,0.7684,falcon,gsm8k_train,gsm8k,attention_plus_mlp,__base__,1.0,False,False
512,0.5859375,-2.5390625,3.90625,0.7714,qwen3,codealpaca,hellaswag,all_layers,softmax_only,1.0,False,False
512,-0.390625,-2.5439453124999956,1.7578125,0.7736,qwen3,gsm8k_train,mmlu,mlp_only,softmax_plus_mlp,1.0,False,False
128,-1.5625,-10.15625,6.25,0.7742,qwen3,gsm8k_train,gsm8k,gdn_only,softmax_plus_mlp,1.0,False,False
512,0.5859375,-2.9296875,3.90625,0.7802,qwen3,ultrachat,mmlu,gdn_only,__base__,1.0,False,False
157,-0.6369426751592357,-3.1847133757961785,1.2738853503184715,0.7804,falcon,codealpaca,humaneval,all_eligible,mlp_only,1.0,False,False
299,-0.6688963210702341,-4.013377926421405,2.6755852842809364,0.7808,qwen3,codealpaca,arc_challenge,all_layers,softmax_plus_mlp,1.0,False,False
512,-0.390625,-2.5390625,1.7578125,0.7898,qwen3,ultrachat,mmlu,softmax_only,mlp_only,1.0,False,False
512,-0.390625,-2.5390625,1.7578125,0.7916,qwen3,gsm8k_train,mmlu,all_layers,mlp_only,1.0,False,False
299,0.6688963210702341,-3.0100334448160537,4.3478260869565215,0.7968,qwen3,codealpaca,arc_challenge,gdn_only,softmax_plus_mlp,1.0,False,False
256,-0.78125,-5.078125,3.515625,0.797,falcon,codealpaca,gsm8k,attention_only,attention_plus_mlp,1.0,False,False
512,-0.390625,-2.9296875,2.1484375,0.7998,falcon,gsm8k_train,mmlu,attention_only,mlp_only,1.0,False,False
299,0.6688963210702341,-3.0100334448160537,4.3478260869565215,0.8,qwen3,codealpaca,arc_challenge,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
128,1.5625,-7.8125,10.9375,0.804,qwen3,gsm8k_train,gsm8k,gdn_only,__base__,1.0,False,False
512,-0.390625,-2.734375,1.7578125,0.8072,falcon,codealpaca,hellaswag,ssm_only,__base__,1.0,False,False
512,-0.390625,-2.9296875,1.953125,0.81,qwen3,codealpaca,hellaswag,softmax_plus_mlp,__base__,1.0,False,False
256,0.78125,-4.296875,5.859375,0.8136,falcon,gsm8k_train,gsm8k,ssm_only,mlp_only,1.0,False,False
256,-0.78125,-5.859375,4.296875,0.8172,falcon,ultrachat,gsm8k,all_eligible,ssm_only,1.0,False,False
256,-0.78125,-5.859375,4.296875,0.8184,qwen3,codealpaca,gsm8k,mlp_only,softmax_plus_mlp,1.0,False,False
299,0.33444816053511706,-1.0033444816053512,1.6806020066888416,0.8186,falcon,codealpaca,arc_challenge,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
299,0.33444816053511706,-1.0033444816053512,1.6722408026755853,0.8202,falcon,gsm8k_train,arc_challenge,all_eligible,attention_plus_mlp,1.0,False,False
