n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
256,-5.859375,-11.71875,-0.390625,0.0446,qwen3,ultrachat,gsm8k,all_layers,gdn_plus_mlp,0.9366,True,False
256,-5.859375,-11.328125,-0.390625,0.0466,qwen3,ultrachat,gsm8k,gdn_only,gdn_plus_mlp,0.9366,True,False
256,-5.078125,-9.765625,-0.390625,0.047,falcon,gsm8k_train,gsm8k,attention_plus_mlp,ssm_plus_mlp,0.94,True,False
512,3.90625,0.1953125,7.6171875,0.0492,qwen3,ultrachat,hellaswag,softmax_only,gdn_only,0.8364,True,False
512,1.953125,0.1953125,3.90625,0.0494,falcon,gsm8k_train,hellaswag,mlp_only,ssm_plus_mlp,0.7904,True,False
512,-3.515625,-6.8359375,0.0,0.0502,qwen3,ultrachat,hellaswag,gdn_only,gdn_plus_mlp,0.8364,False,False
256,4.296875,0.0,8.59375,0.0506,falcon,codealpaca,gsm8k,attention_only,__base__,0.8602,False,False
512,-2.1484375,-4.296875,0.0,0.0522,falcon,gsm8k_train,hellaswag,ssm_only,attention_plus_mlp,0.7904,False,False
512,-2.1484375,-4.296875,0.0,0.055,falcon,gsm8k_train,mmlu,attention_only,ssm_only,1.0,False,False
299,2.341137123745819,0.0,4.682274247491638,0.056,falcon,gsm8k_train,arc_challenge,attention_only,attention_plus_mlp,0.9520000000000001,False,False
256,5.859375,0.0,11.71875,0.057,falcon,gsm8k_train,gsm8k,attention_only,__base__,1.0,False,False
512,-2.9296875,-5.859375,0.0,0.0572,qwen3,codealpaca,hellaswag,gdn_only,gdn_plus_mlp,1.0,False,False
512,2.1484375,0.0,4.296875,0.0578,falcon,ultrachat,hellaswag,attention_only,mlp_only,0.867,False,False
512,2.34375,0.0,4.6875,0.0582,falcon,codealpaca,hellaswag,attention_only,mlp_only,1.0,False,False
512,-1.7578125,-3.515625,0.0,0.0596,falcon,codealpaca,hellaswag,mlp_only,__base__,1.0,False,False
512,-2.1484375,-4.296875,0.0,0.0602,falcon,gsm8k_train,hellaswag,ssm_only,mlp_only,0.8428,False,False
299,-2.6755852842809364,-5.351170568561873,0.0,0.064,qwen3,gsm8k_train,arc_challenge,softmax_plus_mlp,__base__,1.0,False,False
512,1.953125,0.0,3.90625,0.0648,falcon,gsm8k_train,hellaswag,attention_plus_mlp,ssm_plus_mlp,0.8428,False,False
299,2.6755852842809364,0.0,5.351170568561873,0.0652,qwen3,gsm8k_train,arc_challenge,gdn_only,softmax_plus_mlp,1.0,False,False
299,-2.0066889632107023,-4.013377926421405,0.0,0.0668,falcon,gsm8k_train,arc_challenge,all_eligible,attention_only,1.0,False,False
299,1.6722408026755853,0.0,3.3444816053511706,0.068,falcon,gsm8k_train,arc_challenge,ssm_only,ssm_plus_mlp,1.0,False,False
299,2.0066889632107023,0.0,4.013377926421405,0.0682,falcon,gsm8k_train,arc_challenge,ssm_only,attention_plus_mlp,1.0,False,False
512,-2.1484375,-4.296875,0.0,0.0704,qwen3,gsm8k_train,mmlu,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
299,2.0066889632107023,0.0,4.013377926421405,0.071,falcon,gsm8k_train,arc_challenge,ssm_only,mlp_only,1.0,False,False
512,2.34375,0.0,4.8828125,0.0718,qwen3,codealpaca,mmlu,softmax_only,__base__,1.0,False,False
512,2.5390625,-0.1953125,5.2734375,0.0738,qwen3,gsm8k_train,hellaswag,mlp_only,gdn_plus_mlp,0.9594,False,False
512,1.7578125,0.0,3.7109375,0.074,falcon,ultrachat,mmlu,ssm_only,attention_plus_mlp,1.0,False,False
299,-2.341137123745819,-5.016722408026756,0.0,0.0752,qwen3,gsm8k_train,arc_challenge,mlp_only,__base__,1.0,False,False
512,-2.1484375,-4.4921875,0.1953125,0.0784,falcon,codealpaca,hellaswag,all_eligible,attention_only,1.0,False,False
164,-4.2682926829268295,-9.146341463414634,0.0,0.0792,qwen3,codealpaca,humaneval,softmax_only,gdn_only,1.0,False,False
512,-1.3671875,-2.9296875,0.0,0.0818,falcon,codealpaca,mmlu,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
512,-2.5390625,-5.2734375,0.1953125,0.0826,qwen3,gsm8k_train,hellaswag,all_layers,mlp_only,0.9912000000000001,False,False
299,2.341137123745819,0.0,5.016722408026756,0.0834,qwen3,gsm8k_train,arc_challenge,gdn_only,mlp_only,1.0,False,False
512,-1.3671875,-2.9296875,0.0,0.0848,falcon,ultrachat,hellaswag,all_eligible,ssm_plus_mlp,1.0,False,False
512,-1.7578125,-3.7109375,0.1953125,0.0878,falcon,ultrachat,mmlu,attention_plus_mlp,__base__,1.0,False,False
299,2.341137123745819,0.0,5.016722408026756,0.0888,qwen3,ultrachat,arc_challenge,softmax_only,softmax_plus_mlp,1.0,False,False
512,-3.3203125,-7.03125,0.390625,0.0914,qwen3,ultrachat,hellaswag,gdn_only,mlp_only,1.0,False,False
512,3.125,-0.390625,6.640625,0.0956,qwen3,codealpaca,hellaswag,softmax_only,gdn_only,1.0,False,False
128,7.8125,-0.78125,16.40625,0.0958,qwen3,gsm8k_train,gsm8k,gdn_plus_mlp,__base__,1.0,False,False
