model_key,condition,train_dataset,benchmark,n,acc_reported,acc_corrected,n_labels_changed,n_multi_hash,seed,base_reported,base_corrected,delta_reported,delta_corrected
falcon_h1_0_5b_base,all_eligible,gsm8k_train,arc_challenge,299,0.7123745819397993,0.7123745819397993,0,0,3407,0.7424749163879598,0.7424749163879598,-0.030100334448160515,-0.030100334448160515
falcon_h1_0_5b_base,all_eligible,gsm8k_train,gsm8k,256,0.50390625,0.5546875,13,41,3407,0.3828125,0.53125,0.12109375,0.0234375
falcon_h1_0_5b_base,all_eligible,gsm8k_train,hellaswag,512,0.302734375,0.302734375,0,0,3407,0.330078125,0.330078125,-0.02734375,-0.02734375
falcon_h1_0_5b_base,all_eligible,gsm8k_train,mmlu,512,0.515625,0.515625,0,0,3407,0.517578125,0.517578125,-0.001953125,-0.001953125
falcon_h1_0_5b_base,attention_only,gsm8k_train,arc_challenge,299,0.7324414715719063,0.7324414715719063,0,0,3407,0.7424749163879598,0.7424749163879598,-0.010033444816053505,-0.010033444816053505
falcon_h1_0_5b_base,attention_only,gsm8k_train,gsm8k,256,0.5546875,0.58984375,9,34,3407,0.3828125,0.53125,0.171875,0.05859375
falcon_h1_0_5b_base,attention_only,gsm8k_train,hellaswag,512,0.3203125,0.3203125,0,0,3407,0.330078125,0.330078125,-0.009765625,-0.009765625
falcon_h1_0_5b_base,attention_only,gsm8k_train,mmlu,512,0.501953125,0.501953125,0,0,3407,0.517578125,0.517578125,-0.015625,-0.015625
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,arc_challenge,299,0.7090301003344481,0.7090301003344481,0,0,3407,0.7424749163879598,0.7424749163879598,-0.03344481605351168,-0.03344481605351168
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,gsm8k,256,0.4921875,0.51953125,7,28,3407,0.3828125,0.53125,0.109375,-0.01171875
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,hellaswag,512,0.326171875,0.326171875,0,0,3407,0.330078125,0.330078125,-0.00390625,-0.00390625
falcon_h1_0_5b_base,attention_plus_mlp,gsm8k_train,mmlu,512,0.509765625,0.509765625,0,0,3407,0.517578125,0.517578125,-0.0078125,-0.0078125
falcon_h1_0_5b_base,mlp_only,gsm8k_train,arc_challenge,299,0.7090301003344481,0.7090301003344481,0,0,3407,0.7424749163879598,0.7424749163879598,-0.03344481605351168,-0.03344481605351168
falcon_h1_0_5b_base,mlp_only,gsm8k_train,gsm8k,256,0.5078125,0.54296875,9,33,3407,0.3828125,0.53125,0.125,0.01171875
falcon_h1_0_5b_base,mlp_only,gsm8k_train,hellaswag,512,0.326171875,0.326171875,0,0,3407,0.330078125,0.330078125,-0.00390625,-0.00390625
falcon_h1_0_5b_base,mlp_only,gsm8k_train,mmlu,512,0.505859375,0.505859375,0,0,3407,0.517578125,0.517578125,-0.01171875,-0.01171875
falcon_h1_0_5b_base,ssm_only,gsm8k_train,arc_challenge,299,0.7290969899665551,0.7290969899665551,0,0,3407,0.7424749163879598,0.7424749163879598,-0.013377926421404673,-0.013377926421404673
falcon_h1_0_5b_base,ssm_only,gsm8k_train,gsm8k,256,0.46875,0.55078125,21,102,3407,0.3828125,0.53125,0.0859375,0.01953125
falcon_h1_0_5b_base,ssm_only,gsm8k_train,hellaswag,512,0.3046875,0.3046875,0,0,3407,0.330078125,0.330078125,-0.025390625,-0.025390625
falcon_h1_0_5b_base,ssm_only,gsm8k_train,mmlu,512,0.5234375,0.5234375,0,0,3407,0.517578125,0.517578125,0.005859375,0.005859375
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,arc_challenge,299,0.7123745819397993,0.7123745819397993,0,0,3407,0.7424749163879598,0.7424749163879598,-0.030100334448160515,-0.030100334448160515
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,gsm8k,256,0.5078125,0.5703125,16,74,3407,0.3828125,0.53125,0.125,0.0390625
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,hellaswag,512,0.306640625,0.306640625,0,0,3407,0.330078125,0.330078125,-0.0234375,-0.0234375
falcon_h1_0_5b_base,ssm_plus_mlp,gsm8k_train,mmlu,512,0.515625,0.515625,0,0,3407,0.517578125,0.517578125,-0.001953125,-0.001953125
falcon_h1_0_5b_base,all_eligible,ultrachat,arc_challenge,299,0.7290969899665551,0.7290969899665551,0,0,3407,0.7424749163879598,0.7424749163879598,-0.013377926421404673,-0.013377926421404673
falcon_h1_0_5b_base,all_eligible,ultrachat,gsm8k,256,0.4296875,0.61328125,47,221,3407,0.3828125,0.53125,0.046875,0.08203125
falcon_h1_0_5b_base,all_eligible,ultrachat,hellaswag,512,0.287109375,0.287109375,0,0,3407,0.330078125,0.330078125,-0.04296875,-0.04296875
falcon_h1_0_5b_base,all_eligible,ultrachat,mmlu,512,0.509765625,0.509765625,0,0,3407,0.517578125,0.517578125,-0.0078125,-0.0078125
falcon_h1_0_5b_base,attention_only,ultrachat,arc_challenge,299,0.7357859531772575,0.7357859531772575,0,0,3407,0.7424749163879598,0.7424749163879598,-0.006688963210702337,-0.006688963210702337
falcon_h1_0_5b_base,attention_only,ultrachat,gsm8k,256,0.484375,0.5859375,26,227,3407,0.3828125,0.53125,0.1015625,0.0546875
falcon_h1_0_5b_base,attention_only,ultrachat,hellaswag,512,0.314453125,0.314453125,0,0,3407,0.330078125,0.330078125,-0.015625,-0.015625
falcon_h1_0_5b_base,attention_only,ultrachat,mmlu,512,0.5078125,0.5078125,0,0,3407,0.517578125,0.517578125,-0.009765625,-0.009765625
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,arc_challenge,299,0.7290969899665551,0.7290969899665551,0,0,3407,0.7424749163879598,0.7424749163879598,-0.013377926421404673,-0.013377926421404673
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,gsm8k,256,0.4921875,0.6171875,32,225,3407,0.3828125,0.53125,0.109375,0.0859375
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,hellaswag,512,0.291015625,0.291015625,0,0,3407,0.330078125,0.330078125,-0.0390625,-0.0390625
falcon_h1_0_5b_base,attention_plus_mlp,ultrachat,mmlu,512,0.5,0.5,0,0,3407,0.517578125,0.517578125,-0.017578125,-0.017578125
falcon_h1_0_5b_base,mlp_only,ultrachat,arc_challenge,299,0.725752508361204,0.725752508361204,0,0,3407,0.7424749163879598,0.7424749163879598,-0.01672240802675584,-0.01672240802675584
